name,value,timeunit,lastValue,rank,dist,diff
bangomatic,0,0,0,0,0,0
dr10,0,0,0,1,0,0
arkeology,0,0,0,2,0,0
biz_classic,0,0,0,3,0,0
ararat,0,0,0,4,0,0
bountypool,0,0,0,5,0,0
lidware01,0,0,0,6,0,0
cannabanana,0,0,0,7,0,0
pieface,0,0,0,8,0,0
coolbeans,0,0,0,9,0,0
lottox,0,0,0,10,0,0
anamix,0,0,0,11,0,0
thricepi,0,0,0,12,0,0
videodrome,0,0,0,13,0,0
arkane,0,0,0,14,0,0
noah,0,0,0,15,0,0
hami,0,0,0,16,0,0
nothinghere,0,0,0,17,0,0
toad,0,0,0,18,0,0
doweig,0,0,0,19,0,0
biz,0,0,0,20,0,0
barometer_delegate,0,0,0,21,0,0
calidelegate,0,0,0,22,0,0
itsanametoo,0,0,0,23,0,0
krnekdo,0,0,0,24,0,0
reconnico,0,0,0,25,0,0
arknet,0,0,0,26,0,0
del,0,0,0,27,0,0
betty,0,0,0,28,0,0
someonesomeone,0,0,0,29,0,0
forginator,0,0,0,30,0,0
rob,0,0,0,31,0,0
arkland,0,0,0,32,0,0
doc,0,0,0,33,0,0
therock,0,0,0,34,0,0
pierce,0,0,0,35,0,0
devasive,0,0,0,36,0,0
yin,0,0,0,37,0,0
smartthings,0,0,0,38,0,0
lemii,0,0,0,39,0,0
arkx,0,0,0,40,0,0
atreides_wannabe,0,0,0,41,0,0
sharkark,0,0,0,42,0,0
arktipbot,0,0,0,43,0,0
cryptolanka123,0,0,0,44,0,0
nomoredollar2,0,0,0,45,0,0
tibonos,0,0,0,46,0,0
sockpuppet,0,0,0,47,0,0
nuevax,0,0,0,48,0,0
civseed,0,0,0,49,0,0
united,0,0,0,50,0,0
axi,0,1,0,0,0,0
doc,0,1,0,1,0,0
safu,0,1,0,2,0,0
mainarknet,0,1,0,3,0,0
bcboilermaker,0,1,0,4,0,0
papa,0,1,0,5,0,0
reconnico,0,1,0,6,0,0
bbclubark,0,1,0,7,0,0
hardware,0,1,0,8,0,0
devasive,0,1,0,9,0,0
barometer_delegate,0,1,0,10,0,0
ares,0,1,0,11,0,0
arkoar.group,0,1,0,12,0,0
pool.arkno.de,0,1,0,13,0,0
lidware01,0,1,0,14,0,0
rob,0,1,0,15,0,0
doweig,0,1,0,16,0,0
arkmoon,0,1,0,17,0,0
ozpooldelegate,0,1,0,18,0,0
arkade_delegate,0,1,0,19,0,0
litcoincollector,0,1,0,20,0,0
superstar,0,1,0,21,0,0
cryptology,0,1,0,22,0,0
xujian,0,1,0,23,0,0
x.com,0,1,0,24,0,0
coolbeans,0,1,0,25,0,0
acf,0,1,0,26,0,0
anamix,0,1,0,27,0,0
thricepi,0,1,0,28,0,0
quarkpool,0,1,0,29,0,0
provolve,0,1,0,30,0,0
isabella,0,1,0,31,0,0
digitron,0,1,0,32,0,0
geops,0,1,0,33,0,0
jimbob,0,1,0,34,0,0
corsaro,0,1,0,35,0,0
chiiky_2,0,1,0,36,0,0
hami,0,1,0,37,0,0
soliury,0,1,0,38,0,0
pitbull,0,1,0,39,0,0
lemii,0,1,0,40,0,0
alessio,0,1,0,41,0,0
arkworld,0,1,0,42,0,0
monsterbit,0,1,0,43,0,0
mr.arklife,0,1,0,44,0,0
noah,0,1,0,45,0,0
hoop,0,1,0,46,0,0
criptodogg,0,1,0,47,0,0
kiashaan,0,1,0,48,0,0
krnekdo,0,1,0,49,0,0
therock,0,1,0,50,0,0
lemii,0,2,0,0,0,0
heliohash,0,2,0,1,0,0
atreides_wannabe,0,2,0,2,0,0
jamiec79,0,2,0,3,0,0
hippopotamus,0,2,0,4,0,0
biz_classic,0,2,0,5,0,0
provolve,0,2,0,6,0,0
kiashaan,0,2,0,7,0,0
betty,0,2,0,8,0,0
kolap,0,2,0,9,0,0
quarkpool,0,2,0,10,0,0
papa,0,2,0,11,0,0
alphacapital,0,2,0,12,0,0
cryptology,0,2,0,13,0,0
barometer_delegate,0,2,0,14,0,0
bcboilermaker,0,2,0,15,0,0
boxpool,0,2,0,16,0,0
chris,0,2,0,17,0,0
therock,0,2,0,18,0,0
nuevax,0,2,0,19,0,0
ryano,0,2,0,20,0,0
