name,value,timeunit,lastValue,rank,dist,diff
arknet_1,0,0,0,0,0,0
bluedude_1,0,0,0,1,0,0
mody1996_1,0,0,0,2,0,0
doc_1,0,0,0,3,0,0
triumvirate_1,0,0,0,4,0,0
mainarknet,0,0,0,5,0,0
digitron_1,0,0,0,6,0,0
rasputin_1,0,0,0,7,0,0
arkx,0,0,0,8,0,0
doc,0,0,0,9,0,0
arky_1,0,0,0,10,0,0
arkeology_1,0,0,0,11,0,0
ozpooldelegate,0,0,0,12,0,0
nuevax_1,0,0,0,13,0,0
arkgallery_1,0,0,0,14,0,0
chiiky_1,0,0,0,15,0,0
jiraffes,0,0,0,16,0,0
pieface_1,0,0,0,17,0,0
bangomatic_1,0,0,0,18,0,0
arkworld_1,0,0,0,19,0,0
someonesomeone_1,0,0,0,20,0,0
reconnico,0,0,0,21,0,0
giraffe_1,0,0,0,22,0,0
arc_1,0,0,0,23,0,0
lidware01,0,0,0,24,0,0
thefoundry,0,0,0,25,0,0
dutchdelegate,0,0,0,26,0,0
toad_1,0,0,0,27,0,0
boxpool,0,0,0,28,0,0
mr.arklife_1,0,0,0,29,0,0
vipertkd,0,0,0,30,0,0
bbclubark,0,0,0,31,0,0
arkmoon_1,0,0,0,32,0,0
soliury_1,0,0,0,33,0,0
fun,0,0,0,34,0,0
anamix,0,0,0,35,0,0
arklord_1,0,0,0,36,0,0
alphacapital_1,0,0,0,37,0,0
realnoah,0,0,0,38,0,0
mak,0,0,0,39,0,0
alessio,0,0,0,40,0,0
united,0,0,0,41,0,0
rob,0,0,0,42,0,0
toad,0,0,0,43,0,0
ondin,0,0,0,44,0,0
hardware,0,0,0,45,0,0
doweig_1,0,0,0,46,0,0
arkpool_1,0,0,0,47,0,0
lemii,0,0,0,48,0,0
vega,0,0,0,49,0,0
goldeneye_1,0,0,0,50,0,0
krnekdo_1,0,1,0,0,0,0
arkade_delegate,0,1,0,1,0,0
dated,0,1,0,2,0,0
videodrome,0,1,0,3,0,0
ryano,0,1,0,4,0,0
kiashaan_1,0,1,0,5,0,0
soliury,0,1,0,6,0,0
jimbob_1,0,1,0,7,0,0
arkoar.group,0,1,0,8,0,0
smartthings,0,1,0,9,0,0
vipertkd,0,1,0,10,0,0
cannabanana,0,1,0,11,0,0
doc,0,1,0,12,0,0
vega,0,1,0,13,0,0
samuray_1,0,1,0,14,0,0
corsaro_1,0,1,0,15,0,0
alphabit_fund_1,0,1,0,16,0,0
echo_1,0,1,0,17,0,0
sharkark,0,1,0,18,0,0
acf_1,0,1,0,19,0,0
safu_1,0,1,0,20,0,0
emotive_ark_1,0,1,0,21,0,0
biz_classic_1,0,1,0,22,0,0
itsanametoo_1,0,1,0,23,0,0
sharkpool,0,1,0,24,0,0
dandelion_1,0,1,0,25,0,0
hoop,0,1,0,26,0,0
dandelion,0,1,0,27,0,0
ghostfaceuk_1,0,1,0,28,0,0
chris_1,0,1,0,29,0,0
toad,0,1,0,30,0,0
jiraffes,0,1,0,31,0,0
jimbob,0,1,0,32,0,0
nothinghere,0,1,0,33,0,0
hoop_1,0,1,0,34,0,0
arkeology_1,0,1,0,35,0,0
axi_1,0,1,0,36,0,0
lidware01_1,0,1,0,37,0,0
rob,0,1,0,38,0,0
xujian_1,0,1,0,39,0,0
eli_1,0,1,0,40,0,0
bbclubark,0,1,0,41,0,0
chris,0,1,0,42,0,0
arc,0,1,0,43,0,0
jarunik,0,1,0,44,0,0
sidzero_1,0,1,0,45,0,0
therock,0,1,0,46,0,0
bluedude_1,0,1,0,47,0,0
nothinghere_1,0,1,0,48,0,0
cams_yellow_jacket_1,0,1,0,49,0,0
biz_private_1,0,1,0,50,0,0
echo,0,2,0,0,0,0
hagie_1,0,2,0,1,0,0
realnoah_1,0,2,0,2,0,0
axi_1,0,2,0,3,0,0
hagie,0,2,0,4,0,0
sidzero,0,2,0,5,0,0
slasheks,0,2,0,6,0,0
dandelion,0,2,0,7,0,0
bluedude,0,2,0,8,0,0
elegato_1,0,2,0,9,0,0
goldeneye_1,0,2,0,10,0,0
emotive_ark,0,2,0,11,0,0
giraffe,0,2,0,12,0,0
boxpool,0,2,0,13,0,0
doweig_1,0,2,0,14,0,0
anamix,0,2,0,15,0,0
biz_classic_1,0,2,0,16,0,0
arkgallery,0,2,0,17,0,0
safu_1,0,2,0,18,0,0
dafty_1,0,2,0,19,0,0
sharkpool_1,0,2,0,20,0,0
mainarknet_1,0,2,0,21,0,0
anamix_1,0,2,0,22,0,0
ares_1,0,2,0,23,0,0
coolbeans_1,0,2,0,24,0,0
soliury_1,0,2,0,25,0,0
eli_1,0,2,0,26,0,0
del,0,2,0,27,0,0
sockpuppet_1,0,2,0,28,0,0
mody1996,0,2,0,29,0,0
jiraffes_1,0,2,0,30,0,0
ondin_1,0,2,0,31,0,0
lidware01,0,2,0,32,0,0
mr.arklife_1,0,2,0,33,0,0
coolbeans,0,2,0,34,0,0
echo_1,0,2,0,35,0,0
itsanametoo,0,2,0,36,0,0
tibonos_1,0,2,0,37,0,0
bountypool,0,2,0,38,0,0
quarkpool,0,2,0,39,0,0
sonobit,0,2,0,40,0,0
mainarknet,0,2,0,41,0,0
jimbob,0,2,0,42,0,0
pool.arkno.de_1,0,2,0,43,0,0
kiashaan,0,2,0,44,0,0
alphacapital_1,0,2,0,45,0,0
arkland_1,0,2,0,46,0,0
triumvirate,0,2,0,47,0,0
thricepi,0,2,0,48,0,0
cannabanana,0,2,0,49,0,0
arkane_1,0,2,0,50,0,0
pitbull,0,3,0,0,0,0
cannabanana_1,0,3,0,1,0,0
devasive,0,3,0,2,0,0
arkimedes,0,3,0,3,0,0
superskeuo_1,0,3,0,4,0,0
arknet,0,3,0,5,0,0
seatrips,0,3,0,6,0,0
coolbeans_1,0,3,0,7,0,0
chiiky,0,3,0,8,0,0
rob,0,3,0,9,0,0
x.com,0,3,0,10,0,0
alphabit_fund_1,0,3,0,11,0,0
anamix_1,0,3,0,12,0,0
ryano_1,0,3,0,13,0,0
sharkark_1,0,3,0,14,0,0
bioly_1,0,3,0,15,0,0
heliohash,0,3,0,16,0,0
united,0,3,0,17,0,0
chiiky_2,0,3,0,18,0,0
bbclubark,0,3,0,19,0,0
arktipbot,0,3,0,20,0,0
cams_yellow_jacket_1,0,3,0,21,0,0
vipertkd_1,0,3,0,22,0,0
biz_1,0,3,0,23,0,0
doweig,0,3,0,24,0,0
betty_1,0,3,0,25,0,0
reconnico_1,0,3,0,26,0,0
kiashaan,0,3,0,27,0,0
acf_1,0,3,0,28,0,0
arkeology,0,3,0,29,0,0
ravelou_1,0,3,0,30,0,0
rasputin_1,0,3,0,31,0,0
axi_1,0,3,0,32,0,0
videodrome_1,0,3,0,33,0,0
biz_private,0,3,0,34,0,0
eli_1,0,3,0,35,0,0
arkade_delegate_1,0,3,0,36,0,0
samuray_1,0,3,0,37,0,0
anamix,0,3,0,38,0,0
nikitab12,0,3,0,39,0,0
cryptology,0,3,0,40,0,0
reconnico,0,3,0,41,0,0
echo,0,3,0,42,0,0
coolbeans,0,3,0,43,0,0
ravelou,0,3,0,44,0,0
jamiec79_1,0,3,0,45,0,0
goose,0,3,0,46,0,0
arkane_1,0,3,0,47,0,0
rob_1,0,3,0,48,0,0
lemii_1,0,3,0,49,0,0
dr10,0,3,0,50,0,0
ryano,0,4,0,0,0,0
bioly,0,4,0,1,0,0
arkworld_1,0,4,0,2,0,0
yin_1,0,4,0,3,0,0
calidelegate_1,0,4,0,4,0,0
sidzero_1,0,4,0,5,0,0
civseed_1,0,4,0,6,0,0
itsanametoo,0,4,0,7,0,0
rasputin,0,4,0,8,0,0
alphacapital,0,4,0,9,0,0
dutchdelegate_1,0,4,0,10,0,0
arkfuturesmartnode_1,0,4,0,11,0,0
biz_1,0,4,0,12,0,0
atreides_wannabe_1,0,4,0,13,0,0
dr10,0,4,0,14,0,0
bbclubark,0,4,0,15,0,0
jarunik_1,0,4,0,16,0,0
noah,0,4,0,17,0,0
hami_1,0,4,0,18,0,0
alessio,0,4,0,19,0,0
calidelegate,0,4,0,20,0,0
provolve,0,4,0,21,0,0
goose,0,4,0,22,0,0
sonobit_1,0,4,0,23,0,0
isabella_1,0,4,0,24,0,0
emotive_ark_1,0,4,0,25,0,0
wes_1,0,4,0,26,0,0
superskeuo,0,4,0,27,0,0
lidware01_1,0,4,0,28,0,0
papa_1,0,4,0,29,0,0
rasputin_1,0,4,0,30,0,0
ararat_1,0,4,0,31,0,0
bcboilermaker_1,0,4,0,32,0,0
civseed,0,4,0,33,0,0
biz,0,4,0,34,0,0
arkade_delegate_1,0,4,0,35,0,0
nuevax,0,4,0,36,0,0
pool.arkno.de,0,4,0,37,0,0
superstar,0,4,0,38,0,0
criptodogg_1,0,4,0,39,0,0
arklord,0,4,0,40,0,0
someonesomeone,0,4,0,41,0,0
ozpooldelegate_1,0,4,0,42,0,0
alessio_1,0,4,0,43,0,0
thefoundry,0,4,0,44,0,0
safu,0,4,0,45,0,0
pieface_1,0,4,0,46,0,0
sharkark,0,4,0,47,0,0
thricepi,0,4,0,48,0,0
echo_1,0,4,0,49,0,0
elegato_1,0,4,0,50,0,0
deadlock_1,0,5,0,0,0,0
