name,value,timeunit,lastValue,rank,dist,diff
atreides_wannabe,0,0,0,0,0,0
chris,0,0,0,1,0,0
fu_sing_uing_888,0,0,0,2,0,0
sockpuppet,0,0,0,3,0,0
soliury,0,0,0,4,0,0
anamix,0,0,0,5,0,0
bikerleszno,0,0,0,6,0,0
gr33ndrag0n,0,0,0,7,0,0
tintumon,0,0,0,8,0,0
devasive,0,0,0,9,0,0
sidzero,0,0,0,10,0,0
nikitab12,0,0,0,11,0,0
chiiky_2,0,0,0,12,0,0
cryptolanka123,0,0,0,13,0,0
hami,0,0,0,14,0,0
tibonos,0,0,0,15,0,0
samuray,0,0,0,16,0,0
litcoincollector,0,0,0,17,0,0
jiraffes,0,0,0,18,0,0
zillion,0,0,0,19,0,0
dafricash,0,0,0,20,0,0
nomoredollar2,0,0,0,21,0,0
elegato,0,0,0,22,0,0
smartthings,0,0,0,23,0,0
wes,0,0,0,24,0,0
arktipbot,0,0,0,25,0,0
doc,0,0,0,26,0,0
vipertkd,0,0,0,27,0,0
xujian,0,0,0,28,0,0
emotive_ark,0,0,0,29,0,0
slasheks,0,0,0,30,0,0
chiiky,0,0,0,31,0,0
templar,0,0,0,32,0,0
mainarknet,0,0,0,33,0,0
bioly,0,0,0,34,0,0
arkfuturesmartnode,0,0,0,35,0,0
mr.arklife,0,0,0,36,0,0
forginator,0,0,0,37,0,0
corsaro,0,0,0,38,0,0
thricepi,0,0,0,39,0,0
dandelion,0,0,0,40,0,0
kolap,0,0,0,41,0,0
dr10,0,0,0,42,0,0
pool.arkno.de,0,0,0,43,0,0
toad,0,0,0,44,0,0
sonobit,0,0,0,45,0,0
acf,0,0,0,46,0,0
nothinghere,0,0,0,47,0,0
noah,0,0,0,48,0,0
ryano,0,0,0,49,0,0
cannabanana,0,0,0,50,0,0
samuray,0,1,0,0,0,0
alphabit_fund,0,1,0,1,0,0
corsaro,0,1,0,2,0,0
goldeneye,0,1,0,3,0,0
jamiec79,0,1,0,4,0,0
geops,0,1,0,5,0,0
atreides_wannabe,0,1,0,6,0,0
arc,0,1,0,7,0,0
slasheks,0,1,0,8,0,0
biz_classic,0,1,0,9,0,0
vega,0,1,0,10,0,0
hagie,0,1,0,11,0,0
4miners.net,0,1,0,12,0,0
digitron,0,1,0,13,0,0
vipertkd,0,1,0,14,0,0
videodrome,0,1,0,15,0,0
isabella,0,1,0,16,0,0
sockpuppet,0,1,0,17,0,0
gr33ndrag0n,0,1,0,18,0,0
soliury,0,1,0,19,0,0
seatrips,0,1,0,20,0,0
sidzero,0,1,0,21,0,0
cannabanana,0,1,0,22,0,0
doweig,0,1,0,23,0,0
jarunik,0,1,0,24,0,0
nikitab12,0,1,0,25,0,0
doom,0,1,0,26,0,0
triumvirate,0,1,0,27,0,0
arkeology,0,1,0,28,0,0
dafty,0,1,0,29,0,0
diplo,0,1,0,30,0,0
acf,0,1,0,31,0,0
mainarknet,0,1,0,32,0,0
dafricash,0,1,0,33,0,0
nuevax,0,1,0,34,0,0
nothinghere,0,1,0,35,0,0
bountypool,0,1,0,36,0,0
ondin,0,1,0,37,0,0
monsterbit,0,1,0,38,0,0
devasive,0,1,0,39,0,0
hami,0,1,0,40,0,0
tibonos,0,1,0,41,0,0
chris,0,1,0,42,0,0
krnekdo,0,1,0,43,0,0
natalie,0,1,0,44,0,0
litcoincollector,0,1,0,45,0,0
papa,0,1,0,46,0,0
dr10,0,1,0,47,0,0
arkfuturesmartnode,0,1,0,48,0,0
coolbeans,0,1,0,49,0,0
arkpool,0,1,0,50,0,0
