name,value,timeunit,lastValue,rank,dist,diff
4miners.net,1,1.0,0,1,0.0,51
arc,1,1.0,0,2,0.0,51
ares,1,1.0,0,3,0.0,51
arkeology,1,1.0,0,4,0.0,51
arktipbot,1,1.0,0,5,0.0,51
arky,1,1.0,0,6,0.0,51
atreides_wannabe,1,1.0,0,7,0.0,51
bangomatic,1,1.0,0,8,0.0,51
bcboilermaker,1,1.0,0,9,0.0,51
cannabanana,1,1.0,0,10,0.0,51
chiiky,1,1.0,0,11,0.0,51
coolbeans,1,1.0,0,12,0.0,51
corsaro,1,1.0,0,13,0.0,51
dafricash,1,1.0,0,14,0.0,51
dafty,1,1.0,0,15,0.0,51
devasive,1,1.0,0,16,0.0,51
digitron,1,1.0,0,17,0.0,51
diplo,1,1.0,0,18,0.0,51
doweig,1,1.0,0,19,0.0,51
ghostfaceuk,1,1.0,0,20,0.0,51
gr33ndrag0n,1,1.0,0,21,0.0,51
hoop,1,1.0,0,22,0.0,51
isabella,1,1.0,0,23,0.0,51
jamiec79,1,1.0,0,24,0.0,51
kiashaan,1,1.0,0,25,0.0,51
lidware01,1,1.0,0,26,0.0,51
localhost,1,1.0,0,27,0.0,51
mainarknet,1,1.0,0,28,0.0,51
mrv,1,1.0,0,29,0.0,51
noah,1,1.0,0,30,0.0,51
nothinghere,1,1.0,0,31,0.0,51
nuevax,1,1.0,0,32,0.0,51
ondin,1,1.0,0,33,0.0,51
pool.arkno.de,1,1.0,0,34,0.0,51
popcornbag,1,1.0,0,35,0.0,51
reinstein,1,1.0,0,36,0.0,51
samuray,1,1.0,0,37,0.0,51
seatrips,1,1.0,0,38,0.0,51
sidzero,1,1.0,0,39,0.0,51
slasheks,1,1.0,0,40,0.0,51
sockpuppet,1,1.0,0,41,0.0,51
someonesomeone,1,1.0,0,42,0.0,51
templar,1,1.0,0,43,0.0,51
thricepi,1,1.0,0,44,0.0,51
toad,1,1.0,0,45,0.0,51
vanilla,1,1.0,0,46,0.0,51
vega,1,1.0,0,47,0.0,51
videodrome,1,1.0,0,48,0.0,51
vipertkd,1,1.0,0,49,0.0,51
wes,1,1.0,0,50,0.0,51
xujian,1,1.0,0,51,0.0,51
4miners.net,1,2.0,1,1,0.82,5
arc,1,2.0,1,2,0.82,5
ares,1,2.0,1,3,0.82,5
arkeology,1,2.0,1,4,0.82,5
arktipbot,1,2.0,1,5,0.82,5
arky,1,2.0,1,6,0.82,5
atreides_wannabe,1,2.0,1,7,0.82,5
bangomatic,1,2.0,1,8,0.82,5
bcboilermaker,1,2.0,1,9,0.82,5
bioly,1,2.0,0,10,0.82,5
cannabanana,1,2.0,1,11,0.82,5
chiiky,1,2.0,1,12,0.82,5
coolbeans,1,2.0,1,13,0.82,5
corsaro,1,2.0,1,14,0.82,5
dafricash,1,2.0,1,15,0.82,5
dafty,1,2.0,1,16,0.82,5
dandelion,1,2.0,0,17,0.82,5
devasive,1,2.0,1,18,0.82,5
digitron,1,2.0,1,19,0.82,5
diplo,1,2.0,1,20,0.82,5
doweig,1,2.0,1,21,0.82,5
ghostfaceuk,1,2.0,1,22,0.82,5
gr33ndrag0n,1,2.0,1,23,0.82,5
hagie,1,2.0,0,24,0.82,5
hoop,1,2.0,1,25,0.82,5
isabella,1,2.0,1,26,0.82,5
jamiec79,1,2.0,1,27,0.82,5
kiashaan,1,2.0,1,28,0.82,5
lidware01,1,2.0,1,29,0.82,5
localhost,1,2.0,1,30,0.82,5
mody1996,1,2.0,0,31,0.82,5
noah,1,2.0,1,32,0.82,5
nothinghere,1,2.0,1,33,0.82,5
nuevax,1,2.0,1,34,0.82,5
ondin,1,2.0,1,35,0.82,5
pool.arkno.de,1,2.0,1,36,0.82,5
samuray,1,2.0,1,37,0.82,5
seatrips,1,2.0,1,38,0.82,5
sidzero,1,2.0,1,39,0.82,5
slasheks,1,2.0,1,40,0.82,5
sockpuppet,1,2.0,1,41,0.82,5
soliury,1,2.0,0,42,0.82,5
someonesomeone,1,2.0,1,43,0.82,5
templar,1,2.0,1,44,0.82,5
thricepi,1,2.0,1,45,0.82,5
toad,1,2.0,1,46,0.82,5
vega,1,2.0,1,47,0.82,5
videodrome,1,2.0,1,48,0.82,5
vipertkd,1,2.0,1,49,0.82,5
wes,1,2.0,1,50,0.82,5
xujian,1,2.0,1,51,0.82,5
arc,1,3.0,1,1,0.82,5
ares,1,3.0,1,2,0.82,5
ark_lottery,1,3.0,0,3,0.82,5
arkeology,1,3.0,1,4,0.82,5
arktipbot,1,3.0,1,5,0.82,5
arky,1,3.0,1,6,0.82,5
atreides_wannabe,1,3.0,1,7,0.82,5
bangomatic,1,3.0,1,8,0.82,5
bcboilermaker,1,3.0,1,9,0.82,5
bioly,1,3.0,1,10,0.82,5
cannabanana,1,3.0,1,11,0.82,5
chiiky,1,3.0,1,12,0.82,5
coolbeans,1,3.0,1,13,0.82,5
corsaro,1,3.0,1,14,0.82,5
dafricash,1,3.0,1,15,0.82,5
dafty,1,3.0,1,16,0.82,5
densmirnov,1,3.0,0,17,0.82,5
devasive,1,3.0,1,18,0.82,5
digitron,1,3.0,1,19,0.82,5
diplo,1,3.0,1,20,0.82,5
doweig,1,3.0,1,21,0.82,5
eli,1,3.0,0,22,0.82,5
ghostfaceuk,1,3.0,1,23,0.82,5
goldeneye,1,3.0,0,24,0.82,5
gr33ndrag0n,1,3.0,1,25,0.82,5
hoop,1,3.0,1,26,0.82,5
isabella,1,3.0,1,27,0.82,5
jamiec79,1,3.0,1,28,0.82,5
kiashaan,1,3.0,1,29,0.82,5
lidware01,1,3.0,1,30,0.82,5
mody1996,1,3.0,1,31,0.82,5
