name,value,timeunit,lastValue,rank,dist,diff
seatrips,1263806.53464611,1.0,0,1,0.0,51
soliury,819503.86908662,1.0,0,2,0.0,51
ares,777133.8,1.0,0,3,0.0,51
arkeology,774525.47421414,1.0,0,4,0.0,51
vega,732544.04874211,1.0,0,5,0.0,51
bangomatic,653435.99808765,1.0,0,6,0.0,51
doweig,612106.6,1.0,0,7,0.0,51
someonesomeone,604033.81374583,1.0,0,8,0.0,51
samuray,569224.46078799,1.0,0,9,0.0,51
digitron,512019.2714906,1.0,0,10,0.0,51
thricepi,511742.7284649,1.0,0,11,0.0,51
diplo,505607.34771309,1.0,0,12,0.0,51
toad,441018.04164117,1.0,0,13,0.0,51
sidzero,439095.49757317,1.0,0,14,0.0,51
xujian,406042.92588492,1.0,0,15,0.0,51
atreides_wannabe,377940.61806397,1.0,0,16,0.0,51
gr33ndrag0n,375410.7,1.0,0,17,0.0,51
dafricash,300062.7,1.0,0,18,0.0,51
nuevax,247565.54290883,1.0,0,19,0.0,51
bcboilermaker,246173.27626382,1.0,0,20,0.0,51
cannabanana,238939.80985201,1.0,0,21,0.0,51
devasive,183471.0,1.0,0,22,0.0,51
vipertkd,162001.46704498,1.0,0,23,0.0,51
arktipbot,99999.0,1.0,0,24,0.0,51
pool.arkno.de,87041.22165079,1.0,0,25,0.0,51
arc,86569.72907103,1.0,0,26,0.0,51
mody1996,86549.98380942,1.0,0,27,0.0,51
wes,67913.1175331,1.0,0,28,0.0,51
slasheks,66871.50768669,1.0,0,29,0.0,51
dafty,63160.81974,1.0,0,30,0.0,51
kiashaan,61310.49537763,1.0,0,31,0.0,51
templar,56663.02986102,1.0,0,32,0.0,51
chiiky,56225.00875236,1.0,0,33,0.0,51
bioly,51008.0,1.0,0,34,0.0,51
coolbeans,50999.5,1.0,0,35,0.0,51
noah,47723.0,1.0,0,36,0.0,51
ondin,46966.24067939,1.0,0,37,0.0,51
jamiec79,46590.26743133,1.0,0,38,0.0,51
nothinghere,46005.2,1.0,0,39,0.0,51
corsaro,44998.92708032,1.0,0,40,0.0,51
arky,36068.78612154,1.0,0,41,0.0,51
ghostfaceuk,34325.61928784,1.0,0,42,0.0,51
hoop,30899.3,1.0,0,43,0.0,51
lidware01,29980.3,1.0,0,44,0.0,51
videodrome,28932.54733141,1.0,0,45,0.0,51
dandelion,27099.0,1.0,0,46,0.0,51
isabella,26008.7,1.0,0,47,0.0,51
localhost,25965.32418076,1.0,0,48,0.0,51
hagie,25684.21495493,1.0,0,49,0.0,51
sockpuppet,25003.2,1.0,0,50,0.0,51
4miners.net,24712.98990563,1.0,0,51,0.0,51
sonobit,2254913.84614631,2.0,0,1,0.73,8
seatrips,1302464.92083816,2.0,1263806.53464611,2,0.73,8
ares,777133.8,2.0,777133.8,3,0.73,8
arkeology,774525.47421414,2.0,774525.47421414,4,0.73,8
vega,732546.44874211,2.0,732544.04874211,5,0.73,8
bangomatic,643463.99808765,2.0,653435.99808765,6,0.73,8
doweig,612146.9,2.0,612106.6,7,0.73,8
someonesomeone,604033.81374583,2.0,604033.81374583,8,0.73,8
samuray,569228.06078799,2.0,569224.46078799,9,0.73,8
digitron,512048.4714906,2.0,512019.2714906,10,0.73,8
thricepi,511745.9284649,2.0,511742.7284649,11,0.73,8
diplo,505607.34771309,2.0,505607.34771309,12,0.73,8
monsterbit,465787.05003558,2.0,0,13,0.73,8
toad,441022.74164117,2.0,441018.04164117,14,0.73,8
soliury,413505.16908662,2.0,819503.86908662,15,0.73,8
xujian,406042.92588492,2.0,406042.92588492,16,0.73,8
eli,405995.9,2.0,0,17,0.73,8
atreides_wannabe,377942.71806397,2.0,377940.61806397,18,0.73,8
gr33ndrag0n,375489.8,2.0,375410.7,19,0.73,8
bluedude,333338.0,2.0,0,20,0.73,8
emotive_ark,295999.0,2.0,0,21,0.73,8
sidzero,284736.54442948,2.0,439095.49757317,22,0.73,8
dafty,253696.13308288,2.0,63160.81974,23,0.73,8
nuevax,247571.84290883,2.0,247565.54290883,24,0.73,8
cannabanana,199801.20985201,2.0,238939.80985201,25,0.73,8
ghostfaceuk,195737.76145851,2.0,34325.61928784,26,0.73,8
vipertkd,162006.56704498,2.0,162001.46704498,27,0.73,8
bcboilermaker,151175.67626382,2.0,246173.27626382,28,0.73,8
coolbeans,107038.30884695,2.0,50999.5,29,0.73,8
jamiec79,106428.34087303,2.0,46590.26743133,30,0.73,8
elegato,104433.41844431,2.0,0,31,0.73,8
chiiky,102370.38175717,2.0,56225.00875236,32,0.73,8
pool.arkno.de,100264.52165079,2.0,87041.22165079,33,0.73,8
dafricash,100060.3,2.0,300062.7,34,0.73,8
arktipbot,99999.0,2.0,99999.0,35,0.73,8
wes,88927.88347453,2.0,67913.1175331,36,0.73,8
arky,88135.54699963,2.0,36068.78612154,37,0.73,8
devasive,83471.8,2.0,183471.0,38,0.73,8
mody1996,77787.38380942,2.0,86549.98380942,39,0.73,8
hoop,68151.3,2.0,30899.3,40,0.73,8
slasheks,66878.80768669,2.0,66871.50768669,41,0.73,8
arc,66571.82907103,2.0,86569.72907103,42,0.73,8
isabella,61014.8,2.0,26008.7,43,0.73,8
bioly,60192.80969298,2.0,51008.0,44,0.73,8
templar,56665.62986102,2.0,56663.02986102,45,0.73,8
corsaro,56247.04064452,2.0,44998.92708032,46,0.73,8
noah,47780.9,2.0,47723.0,47,0.73,8
ondin,46967.94067939,2.0,46966.24067939,48,0.73,8
goldeneye,42678.31593137,2.0,0,49,0.73,8
kiashaan,38896.90715167,2.0,61310.49537763,50,0.73,8
litcoincollector,32114.1,2.0,0,51,0.73,8
sonobit,2254922.64614631,3.0,2254913.84614631,1,0.76,6
seatrips,1586549.70214867,3.0,1302464.92083816,2,0.76,6
ares,777133.8,3.0,777133.8,3,0.76,6
arkeology,768316.0,3.0,774525.47421414,4,0.76,6
vega,720867.00243351,3.0,732546.44874211,5,0.76,6
bangomatic,643491.09808765,3.0,643463.99808765,6,0.76,6
doweig,612148.8,3.0,612146.9,7,0.76,6
someonesomeone,604033.81374583,3.0,604033.81374583,8,0.76,6
samuray,569229.86078799,3.0,569228.06078799,9,0.76,6
sidzero,539101.89757317,3.0,284736.54442948,10,0.76,6
thricepi,512824.5284649,3.0,511745.9284649,11,0.76,6
digitron,512075.9714906,3.0,512048.4714906,12,0.76,6
diplo,505607.34771309,3.0,505607.34771309,13,0.76,6
monsterbit,465788.85003558,3.0,465787.05003558,14,0.76,6
ghostfaceuk,461474.57665664,3.0,195737.76145851,15,0.76,6
jamiec79,460602.74066903,3.0,106428.34087303,16,0.76,6
rasputin,447908.31401453,3.0,0,17,0.76,6
toad,441024.04164117,3.0,441022.74164117,18,0.76,6
soliury,413508.86908662,3.0,413505.16908662,19,0.76,6
xujian,406042.92588492,3.0,406042.92588492,20,0.76,6
eli,406004.6,3.0,405995.9,21,0.76,6
dafty,383475.91469019,3.0,253696.13308288,22,0.76,6
atreides_wannabe,377945.31806397,3.0,377942.71806397,23,0.76,6
gr33ndrag0n,373451.1,3.0,375489.8,24,0.76,6
bluedude,333342.3,3.0,333338.0,25,0.76,6
emotive_ark,295999.0,3.0,295999.0,26,0.76,6
doom,292717.6628062,3.0,0,27,0.76,6
arkpool,259053.64136023,3.0,0,28,0.76,6
bcboilermaker,251177.07626382,3.0,151175.67626382,29,0.76,6
cannabanana,191102.60985201,3.0,199801.20985201,30,0.76,6
arky,188184.97699963,3.0,88135.54699963,31,0.76,6
vipertkd,162008.56704498,3.0,162006.56704498,32,0.76,6
bioly,159110.67551862,3.0,60192.80969298,33,0.76,6
triumvirate,149994.8,3.0,0,34,0.76,6
mody1996,137798.98380942,3.0,77787.38380942,35,0.76,6
pool.arkno.de,136399.55210709,3.0,100264.52165079,36,0.76,6
coolbeans,107041.50884695,3.0,107038.30884695,37,0.76,6
elegato,104433.41844431,3.0,104433.41844431,38,0.76,6
wes,102530.88347453,3.0,88927.88347453,39,0.76,6
chiiky,102372.98175717,3.0,102370.38175717,40,0.76,6
dafricash,100060.3,3.0,100060.3,41,0.76,6
arkfuturesmartnode,100021.8,3.0,0,42,0.76,6
arktipbot,99999.0,3.0,99999.0,43,0.76,6
dandelion,91099.0,3.0,27099.0,44,0.76,6
arc,86599.92907103,3.0,66571.82907103,45,0.76,6
devasive,83471.8,3.0,83471.8,46,0.76,6
corsaro,71701.04103116,3.0,56247.04064452,47,0.76,6
mainarknet,68467.3,3.0,0,48,0.76,6
hoop,68205.2,3.0,68151.3,49,0.76,6
slasheks,66880.70768669,3.0,66878.80768669,50,0.76,6
templar,66691.52986102,3.0,56665.62986102,51,0.76,6
sonobit,2255327.34614631,4.0,2254922.64614631,1,0.82,4
seatrips,1438545.22248061,4.0,1586549.70214867,2,0.82,4
cannabanana,835010.20985201,4.0,191102.60985201,3,0.82,4
ares,777133.8,4.0,777133.8,4,0.82,4
arkeology,768316.0,4.0,768316.0,5,0.82,4
vega,720892.90243351,4.0,720867.00243351,6,0.82,4
bangomatic,643497.09808765,4.0,643491.09808765,7,0.82,4
doweig,612150.2,4.0,612148.8,8,0.82,4
someonesomeone,604033.81374583,4.0,604033.81374583,9,0.82,4
samuray,569258.76078799,4.0,569229.86078799,10,0.82,4
jamiec79,544859.09475808,4.0,460602.74066903,11,0.82,4
sidzero,539107.09757317,4.0,539101.89757317,12,0.82,4
