name,value,timeunit,lastValue,rank,dist,diff
anamix,1,1.0,0,1,0.0,51
ararat,1,1.0,0,2,0.0,51
arc,1,1.0,0,3,0.0,51
ares,1,1.0,0,4,0.0,51
arkimedes,1,1.0,0,5,0.0,51
arknet,1,1.0,0,6,0.0,51
arkpool,1,1.0,0,7,0.0,51
arky,1,1.0,0,8,0.0,51
atreides_wannabe,1,1.0,0,9,0.0,51
axi,1,1.0,0,10,0.0,51
bangomatic,1,1.0,0,11,0.0,51
bioly,1,1.0,0,12,0.0,51
cannabanana,1,1.0,0,13,0.0,51
chiiky_2,1,1.0,0,14,0.0,51
corsaro,1,1.0,0,15,0.0,51
cryptolanka123,1,1.0,0,16,0.0,51
dafty,1,1.0,0,17,0.0,51
digitron,1,1.0,0,18,0.0,51
diplo,1,1.0,0,19,0.0,51
doc,1,1.0,0,20,0.0,51
doom,1,1.0,0,21,0.0,51
elegato,1,1.0,0,22,0.0,51
emotive_ark,1,1.0,0,23,0.0,51
forginator,1,1.0,0,24,0.0,51
ghostfaceuk,1,1.0,0,25,0.0,51
gr33ndrag0n,1,1.0,0,26,0.0,51
hagie,1,1.0,0,27,0.0,51
heliohash,1,1.0,0,28,0.0,51
jamiec79,1,1.0,0,29,0.0,51
jimbob,1,1.0,0,30,0.0,51
jiraffes,1,1.0,0,31,0.0,51
kiashaan,1,1.0,0,32,0.0,51
kolap,1,1.0,0,33,0.0,51
mr.arklife,1,1.0,0,34,0.0,51
natalie,1,1.0,0,35,0.0,51
nikitab12,1,1.0,0,36,0.0,51
ondin,1,1.0,0,37,0.0,51
pitbull,1,1.0,0,38,0.0,51
rasputin,1,1.0,0,39,0.0,51
ravelou,1,1.0,0,40,0.0,51
realnoah,1,1.0,0,41,0.0,51
samuray,1,1.0,0,42,0.0,51
seatrips,1,1.0,0,43,0.0,51
sidzero,1,1.0,0,44,0.0,51
someonesomeone,1,1.0,0,45,0.0,51
therock,1,1.0,0,46,0.0,51
tibonos,1,1.0,0,47,0.0,51
tintumon,1,1.0,0,48,0.0,51
toad,1,1.0,0,49,0.0,51
wes,1,1.0,0,50,0.0,51
xujian,1,1.0,0,51,0.0,51
alphabit_fund,1,2.0,0,1,0.79,6
anamix,1,2.0,1,2,0.79,6
ararat,1,2.0,1,3,0.79,6
arc,1,2.0,1,4,0.79,6
ares,1,2.0,1,5,0.79,6
arkimedes,1,2.0,1,6,0.79,6
arknet,1,2.0,1,7,0.79,6
arkpool,1,2.0,1,8,0.79,6
arktipbot,1,2.0,0,9,0.79,6
arky,1,2.0,1,10,0.79,6
atreides_wannabe,1,2.0,1,11,0.79,6
axi,1,2.0,1,12,0.79,6
bangomatic,1,2.0,1,13,0.79,6
bioly,1,2.0,1,14,0.79,6
chiiky_2,1,2.0,1,15,0.79,6
corsaro,1,2.0,1,16,0.79,6
cryptolanka123,1,2.0,1,17,0.79,6
dafty,1,2.0,1,18,0.79,6
digitron,1,2.0,1,19,0.79,6
doc,1,2.0,1,20,0.79,6
doom,1,2.0,1,21,0.79,6
emotive_ark,1,2.0,1,22,0.79,6
forginator,1,2.0,1,23,0.79,6
ghostfaceuk,1,2.0,1,24,0.79,6
gr33ndrag0n,1,2.0,1,25,0.79,6
hagie,1,2.0,1,26,0.79,6
heliohash,1,2.0,1,27,0.79,6
jamiec79,1,2.0,1,28,0.79,6
