name,value,timeunit,lastValue,rank,dist,diff
anamix,1,1.0,0,1,0.0,51
arc,1,1.0,0,2,0.0,51
ares,1,1.0,0,3,0.0,51
arkimedes,1,1.0,0,4,0.0,51
arknet,1,1.0,0,5,0.0,51
arktipbot,1,1.0,0,6,0.0,51
arky,1,1.0,0,7,0.0,51
atreides_wannabe,1,1.0,0,8,0.0,51
axi,1,1.0,0,9,0.0,51
bangomatic,1,1.0,0,10,0.0,51
bcboilermaker,1,1.0,0,11,0.0,51
bikerleszno,1,1.0,0,12,0.0,51
bioly,1,1.0,0,13,0.0,51
bluedude,1,1.0,0,14,0.0,51
cannabanana,1,1.0,0,15,0.0,51
chiiky,1,1.0,0,16,0.0,51
chiiky_2,1,1.0,0,17,0.0,51
coolbeans,1,1.0,0,18,0.0,51
corsaro,1,1.0,0,19,0.0,51
dafty,1,1.0,0,20,0.0,51
digitron,1,1.0,0,21,0.0,51
diplo,1,1.0,0,22,0.0,51
doc,1,1.0,0,23,0.0,51
doom,1,1.0,0,24,0.0,51
doweig,1,1.0,0,25,0.0,51
eli,1,1.0,0,26,0.0,51
emotive_ark,1,1.0,0,27,0.0,51
ghostfaceuk,1,1.0,0,28,0.0,51
gr33ndrag0n,1,1.0,0,29,0.0,51
heliohash,1,1.0,0,30,0.0,51
jamiec79,1,1.0,0,31,0.0,51
kiashaan,1,1.0,0,32,0.0,51
krnekdo,1,1.0,0,33,0.0,51
mody1996,1,1.0,0,34,0.0,51
ondin,1,1.0,0,35,0.0,51
pitbull,1,1.0,0,36,0.0,51
pool.arkno.de,1,1.0,0,37,0.0,51
rasputin,1,1.0,0,38,0.0,51
samuray,1,1.0,0,39,0.0,51
seatrips,1,1.0,0,40,0.0,51
sidzero,1,1.0,0,41,0.0,51
soliury,1,1.0,0,42,0.0,51
someonesomeone,1,1.0,0,43,0.0,51
thricepi,1,1.0,0,44,0.0,51
tibonos,1,1.0,0,45,0.0,51
tintumon,1,1.0,0,46,0.0,51
toad,1,1.0,0,47,0.0,51
triumvirate,1,1.0,0,48,0.0,51
vega,1,1.0,0,49,0.0,51
wes,1,1.0,0,50,0.0,51
xujian,1,1.0,0,51,0.0,51
anamix,1,2.0,1,1,0.57,14
ararat,1,2.0,0,2,0.57,14
arc,1,2.0,1,3,0.57,14
ares,1,2.0,1,4,0.57,14
arkimedes,1,2.0,1,5,0.57,14
arknet,1,2.0,1,6,0.57,14
arkpool,1,2.0,0,7,0.57,14
arky,1,2.0,1,8,0.57,14
axi,1,2.0,1,9,0.57,14
bangomatic,1,2.0,1,10,0.57,14
bcboilermaker,1,2.0,1,11,0.57,14
bioly,1,2.0,1,12,0.57,14
cannabanana,1,2.0,1,13,0.57,14
chiiky_2,1,2.0,1,14,0.57,14
coolbeans,1,2.0,1,15,0.57,14
corsaro,1,2.0,1,16,0.57,14
cryptolanka123,1,2.0,0,17,0.57,14
dafty,1,2.0,1,18,0.57,14
digitron,1,2.0,1,19,0.57,14
diplo,1,2.0,1,20,0.57,14
doc,1,2.0,1,21,0.57,14
doom,1,2.0,1,22,0.57,14
forginator,1,2.0,0,23,0.57,14
ghostfaceuk,1,2.0,1,24,0.57,14
gr33ndrag0n,1,2.0,1,25,0.57,14
hagie,1,2.0,0,26,0.57,14
heliohash,1,2.0,1,27,0.57,14
jamiec79,1,2.0,1,28,0.57,14
jimbob,1,2.0,0,29,0.57,14
jiraffes,1,2.0,0,30,0.57,14
kiashaan,1,2.0,1,31,0.57,14
kolap,1,2.0,0,32,0.57,14
mody1996,1,2.0,1,33,0.57,14
mr.arklife,1,2.0,0,34,0.57,14
natalie,1,2.0,0,35,0.57,14
nikitab12,1,2.0,0,36,0.57,14
ondin,1,2.0,1,37,0.57,14
rasputin,1,2.0,1,38,0.57,14
realnoah,1,2.0,0,39,0.57,14
seatrips,1,2.0,1,40,0.57,14
sidzero,1,2.0,1,41,0.57,14
smartthings,1,2.0,0,42,0.57,14
soliury,1,2.0,1,43,0.57,14
someonesomeone,1,2.0,1,44,0.57,14
therock,1,2.0,0,45,0.57,14
tibonos,1,2.0,1,46,0.57,14
tintumon,1,2.0,1,47,0.57,14
toad,1,2.0,1,48,0.57,14
vega,1,2.0,1,49,0.57,14
wes,1,2.0,1,50,0.57,14
xujian,1,2.0,1,51,0.57,14
ararat,1,3.0,1,1,0.85,1
arc,1,3.0,1,2,0.85,1
ares,1,3.0,1,3,0.85,1
arkimedes,1,3.0,1,4,0.85,1
arknet,1,3.0,1,5,0.85,1
arkpool,1,3.0,1,6,0.85,1
arktipbot,1,3.0,1,7,0.85,1
arky,1,3.0,1,8,0.85,1
axi,1,3.0,1,9,0.85,1
bangomatic,1,3.0,1,10,0.85,1
bcboilermaker,1,3.0,1,11,0.85,1
bioly,1,3.0,1,12,0.85,1
bountypool,1,3.0,0,13,0.85,1
cannabanana,1,3.0,1,14,0.85,1
chiiky_2,1,3.0,1,15,0.85,1
corsaro,1,3.0,1,16,0.85,1
cryptolanka123,1,3.0,1,17,0.85,1
dafty,1,3.0,1,18,0.85,1
digitron,1,3.0,1,19,0.85,1
diplo,1,3.0,1,20,0.85,1
doc,1,3.0,1,21,0.85,1
doom,1,3.0,1,22,0.85,1
emotive_ark,1,3.0,1,23,0.85,1
